name,screen_name,description,statuses_count,friends_count,followers_count,account_age,average_tweets_per_day
Н.Н.Номтойбаяр,Nomt7,,1237,1613,49622,2600,0.4757692307692308
Odontuya Saldan,OdontuyaS,Chairman of @DCWU_Mongolia | Governor of Bayangol District | Иргэн Та баялаг Сангийн болон АН-ын АЭХ-ны Тэргүүн | Баянгол дүүргийн Засаг Дарга,26145,2264,138512,3429,7.624671916010499
Т.Аюурсайхан,ayursaikhan,"Доктор эдийн засагч, Ph.D.
Улсын Их Хурлын гишүүн
Хөгжлийн төлөөх эрдэмтэд

Member of Parliament
Chair of StandingCommittee
Mongolian Scientists for Development",4169,1899,122754,3365,1.2389301634472512
Бямбацогт Сандаг,BYAMBATSOGT_S,"Member of the Parliament Mongolia 🇲🇳 Minister of Justice and Internal Affairs, Mongolia",5691,2407,92942,3515,1.6190611664295875
Лүндэгийн Наранбаатар,Naranbaatarl,"Уул уурхайн инженер-эдийн засагч, Австрали-Азийн уул уурхай, металлургийн институт (AusIMM)-ын гишүүн. 3х3 сагсан бөмбөгийн Улаанбаатар Амазонс багийн эзэн",83194,4331,47498,2769,30.044781509570242
Ж.Сүхбаатар,Sukhbaatar_J,МОНГОЛ МАНДАНА 🇲🇳 #Хуульч #ConstitutionalAdministrativeLaw,65107,6914,47059,3311,19.66384778012685
Badrakh Naidalaa,Naidalaa,"Эдийн засагч, санхүүч.    UFE | Kobe University, @XYH_Party | Party Leader,   
@mongolianbanker | former CEO 
@ToC_Mongolia | #GreenFinance #Уухай!",14083,6046,28639,3743,3.762489981298424
Баттөмөрийн ЭНХБАЯР,Enkhbayar_bat,Хуульч,71398,874,43291,2715,26.297605893186002
Bulgantuya.Kh,KhBulgan,"Vice minister of finance, economist, optimist and mom of 3.",4518,21619,25450,2782,1.6240115025161754
Ганибалын Амартүвшин,Amartuvshin_Xac,"Эдийн засагч, Harvard Business School MBA, YPO, Shark Tank Mongolia investor.",67,275,11107,938,0.07142857142857142
Л.Оюун-Эрдэнэ,OyunerdeneMN,"Member of Parliament, “Asian Khuleg” institute, Harvard University, School of Government.",8884,1988,52949,3324,2.6726835138387486
Хассуурийн ГАНХУЯГ,KhGankhuyagMN,"Аялагч, Улаанбаатар амазонс 3х3, Хера Холдингс",11607,1043,11640,3372,3.442170818505338
Tsogtbaatar Damdin,TsogtbaatarD,"УИХ-ын гишүүн, Гадаад харилцааны сайд, Нийслэлийн Сүхбаатар дүүргийн МАН-ын хорооны дарга | Minister for Foreign Affairs of Mongolia, MP",11722,1679,47752,3031,3.8673705047838998
Damdinnyam Gongor,Daimka07,"Дархан хотод төрсөн, Уул уурхайн бодлого ба засаглал судалдаг. BASc (law), MASc (Mining; Politics) Researcher| UBC Alum 👨‍🎓 🇨🇦 🇲🇳",166440,1513,10799,3419,48.680900848201226
ХувийнХэвшлийгХайрла,B_Munkhtselmeg,"Залхууралгүй доорх 2 линкийг дараад үзчих. Бид уучлахгүй хөдөлгөөн УИХ ЗГ-с юу хүсээд бга нь ойлгогдоно. 

https://t.co/qHGwg0o2IK

http://petition.parl",17275,5610,15256,2703,6.391046984831669
Д.Түмэн-Өлзий,artanyan,Ядаж нүүрээ солих цаг болсон...,41339,1858,27332,1987,20.80473074987418
