id,user,tweets,date,location,favorites,retweets,english,polarity,Expression Label
1394216127404802050,enkhbat,"Уралын өвөл. Оюутан цаг.  Энхбат, Оюунаа хоёр. 1978 он. Лоовууз моодонд байлаа 😀 https://t.co/6u4rdCd20r",2021-05-17 09:00:02,Ulaanbaatar,846,110,Ural winter. Student hours. Enkhbat and Oyunaa. 1978 he. Loovuuz was in fashion 😀 https://t.co/6u4rdCd20r,0.1,neutral
1394245887501619204,enkhbat,"Инженер Энхбат. 1990. Компьютер, сүлжээний тухай уншиж, мөрөөдөж эхэлсэн цаг. Тэр үед компьютерийг ЭВМ/ТБМ гэж ярьдаг байлаа https://t.co/QPnLz85klC",2021-05-17 10:58:18,Ulaanbaatar,676,140,"Engineer Enkhbat. 1990. When I started reading and dreaming about computers and networks. At that time, computers were called computers / https://t.co/QPnLz85klC",0.4,positive
1394862654108278787,bambgar19,"Э.Энхбат начин ухаан орж,амь нас нь үхлээс холуур болсон сайхан мэдээтэй өдөр байлаа ,амьддаа бие биенээ хайрлая ..👍🤞🙏
Өдрийн мэнд ээ!!",2021-05-19 03:49:06,Mongolia,448,90,It was a good day for E.Enkhbat to come to his senses and his life was far from death. Let&#39;s love each other while we are alive ..👍🤞🙏 Good day !!,1.0,positive
1393810304996364289,batengineer,"Нэр дэвшигч Энхбат гуайг муулах өнцөг олох гэж зовж бгаа төлбөртүүдийг бүүр өрөвдчихлөө. Номтой, хулгай худлын түүхгүй Д.Энхбат гэдэг хүнийг муулах нь Б. Ренчин гуайг муулах захиалга шиг маш хэцүү даалгавар л даа. Ойлгож бнаа ойлгож бн. 😂😂😂",2021-05-16 06:07:27,Mongolia,391,164,"I feel sorry for those who are struggling to find a way to discredit the candidate Enkhbat guai. Slandering a person named D.Enkhbat who has a book and no history of theft and lies It&#39;s a very difficult task, like an order to slander Renchin guai. I understand. 😂😂😂",-0.6,negative
1392845222057418759,Sanchir_philo,"Энхбат гуайг дэмжиж буй хүмүүс сэхээтэн,оюунлаг гэсэн ялгаварлал битгий үүсгээрэй. 

Бүх хүн адилхан үнэ цэнэтэй.Бүх хүн өөрийн сонгосон амьдралаар амьдрах эрхтэй. Бүх хүнд өөрийнх нь сонголт үнэ цэнэтэй.

Бусдыг доромжилох хэтэрхий фанатик байх хэрэггүй.",2021-05-13 14:12:33,"Wien, Österreich",378,124,Those who support Enkhbat guai should not discriminate between intellectuals and intellectuals. Everyone has the same values. Everyone has the right to live the life of their choice. Everyone has a choice. Don&#39;t be too fanatical to insult others.,-0.3,neutral
1392860812042063881,Gerel,"Дөнгөж сая 19 настай оюутан орчуулга хийж, essay бичих зөвлөгөө өгч олсон бүх мөнгөө Энхбат гуайд хандивлав. 🔥🔥",2021-05-13 15:14:30,Former Londoner in Mongolia,337,64,The 19-year-old student donated all the money he earned to translate and write an essay. 🔥🔥,1.0,positive
1393390793742712832,Aanxaa,"Гэхдээ Энхбат гуайн ярианууд уйтгартай, шинэ юмгүй байгаа нь үнэн шүү. ""Ам нээвэл"" дээр Энхбат 50 минут ярихад 2-3 цагийн юм шиг уйтгартай удаан өнгөрсөн, харин Хүрэлсүхийн 50 минутын яриа бараг 15-20 минут шиг л урсаад өнгөрсөн. ""Элитүүд"" өөрсдөө дүгнэнэ биз",2021-05-15 02:20:27,,331,94,"But it is true that Enkhbat&#39;s speeches are boring and nothing new. In &quot;Open Your Mouth&quot;, Enkhbat&#39;s 50-minute talk was as boring as 2-3 hours, while Khurelsukh&#39;s 50-minute talk was almost 15-20 minutes. The &quot;elites&quot; will judge for themselves",-1.0,negative
1393496834195197952,GGanErdene,"Д.Энхбат чинь Идэрээгийн л томруулсан хувилбар шд. Худлаа шаагаа л байна, ямар ч хийсэн ажил шийдэл байхгүй. Угаасаа дургүй, ер нь дэмжих албагүй биз дээ. Лайтайн.",2021-05-15 09:21:49,"Ulaanbaatar ,Mongolia",331,96,"D.Enkhbat is an enlarged version of Ideree. It&#39;s a lie, there&#39;s no solution. You don&#39;t like it at all, you don&#39;t have to support it. Light.",-0.4,negative
1394906769453993985,chaimkaaaa,"Энхбат ухаан орсон нь үнэн. Гэхдээ ямар ч ярих, хөл гар нь хөдлөж бгаа зүйл бхгүй. Тархины гол багана гэмтэлтэй бгаа. Энэ ухаан ороод сайжраад бгаа гээд жиргээд бгаа хүмүүс хаанаас мэдээлэл аваад бдгийн болдоо.Хүний эрүүл мэнд шүү. Би Эхнэрээс мэдээлэл авсан. Хурдан эдгээрэй 🙏🏻",2021-05-19 06:44:24,Mongolia,327,110,"It is true that Enkhbat came to his senses. But there is no talk, no movement of the limbs. The main pillar of the brain is damaged. People are tweeting that they are getting better, where do they get information from? Human health. I received information from my wife. Get well soon 🙏🏻",-0.1,neutral
1393853301733609475,batengineer,"Энийг хийсэн хүмүүс МАН дотор, бүүр Хүрэлсүхийн пиарын багт бгаа гэдэгт бат итгэж бн. Тэд нэр дэвшигч рүүгээ хүн бусаар дайрсан муухай нэрийг өрсөлдөгчид нь наах оролдлого хийсэн бн гэж харж бн. Эрдэнэ муу хөөн. Гэхдээ хэзээ ч ингэж тэнэгтэхгүй. Энхбат гуайн дэмжигчид огт ийм биш https://t.co/qDXV4OEy8G",2021-05-16 08:58:18,Mongolia,313,124,"Those who did this firmly believe that they are in the MPP, even in Khurelsukh&#39;s PR team. They see their opponents as trying to brand a bad name for their candidate by inhumanely attacking them. Erdene chased badly. But never be so stupid. Enkhbat&#39;s supporters are not like that at all https://t.co/qDXV4OEy8G",-1.0,negative
