name,screen_name,followers_count,average_tweets_per_day,tweets,retweets
Enkhbat Dangaasuren,enkhbat,184779,6.238614341085271,"RT @enkhbat: Чадалтай хүмүүс бүтээснээрээ гоёдог. Сул хүмүүс хэрэглээгээрээ гоёдог. Энэ бол хүнийг таних хамгийн энгийн, чухал шинж тэмдгий…",228
Uyanga Tsoggerel,Uyanga_ts,81989,99.95527638190954,RT @Uyanga_ts: Жонхуу здакаас болж 10 гаруй жил машинаар нүүрсээ зөөж бгаа нь багадаад Оросоор дамжуулан Хятад руу гаргахаар улайраад эхэлл…,112
БАТЫЙ🇲🇳,batengineer,61512,45.55601148953632,"RT @batengineer: Эмнэлгийн хяналтанд бгаа залуусаас нэмж илрэхэд цочих хэрэггүй. Тэд тараахгүй, эмнэлэгтээ эмчлүүлээд эдгэнэ. Харин Оросоос…",28
Эрдэнийн Бат-Үүл,E_BatUul,54477,0.24825493171471927,RT @E_BatUul: 5-р сарын 21-ны өдрийн 11 цагт Сүхбаатарын талбайд “М.Энхсайханаа дарангуйлагчид өгөхгүй!” сэдэвт цуглаантай. Дарангуйллыг эс…,162
Одко,odbayare,53614,20.30156388315137,"RT @odbayare: Москва #Covid_19-д үнэн бэлтгэлгүй бн дө. Влоггер залуу өөрийгөө Италиас ирлээ гээд, намайг тусгаарлаад өгөөч, шинжилгээ аваа…",67
Mr. Citizen,NinjbatL,51019,34.179873455860196,RT @NinjbatL: Австралиас Монгол руу ирэх хүсэлтээ илэрхийлсэн янз бүрийн хүндэтгэн үзэх шалтгаантай 800 гаруй иргэд байгаа гэсэн. Гэтэл тэр…,14
Эрдэнэчимэг Лувсан,Erdenechimeg_L,50964,1.8704918032786886,RT @Erdenechimeg_L: Ажиллах орчин бүрдүүлэх нь 21-р зууны trend. https://t.co/pcSlvDnpyq,12
Baasankhuu Oktyabri,baasankhuu_o,39476,3.5704493526275702,"RT @baasankhuu_o: Намайг доромжилж, гутаадаг хүмүүст би нэг л зүйл хэлье. БИ ХУЛГАЙЧ БИШ. Би бүхий л хугацаанд төрийн хулгайч нарын зүрхэнд…",96
😍 Saruul 🌎🙋‍♀️,AminaMongolia,39349,30.841834862385323,RT @AminaMongolia: Амралтын өглөөний мэндээ#Өдрийг инээмсэглэл дүүрэн сайхан өнгөрүүлээрэй🤗 https://t.co/Doyd0nKfhu,26
Amaraaliberty,amaraaliberty,35845,23.57517171203256,"RT @amaraaliberty: Амарсайхан даргаа МАН-ын байрны урд ZU club-ын үүдэн дээр цугларч бсан хүмүүсээс их цуглаад, хоорондын зайгаа барихгүй б…",24
Мөнхтөрийн Нарантуяа-Нара,m_narantuya,29752,26.64359637774903,"RT @m_narantuya: 28тай бхдаа хүүгийнхээ эцэгтэй болзоод л догдлонгуй амьтан явж бж😜 Бүгд Батцацралын авсан зургууд ккккк

Хүүдээ үзүүлсэн ч…",26
МаазМаараа,maazmaaraa,10804,11.328720787207873,"RT @maazmaaraa: МГЛ-ын хүн амын 80% илүү нь хелико бактертай, удахгүй элэг биш ходоодны хавдар аюул болно гэж 1судлаач хэлсэн. Эхний ээлжин…",135
Бэсүд,Baaskaa2020,7125,5.6328611898017,"RT @Baaskaa2020: Өглөөний мэнд.
Сибир. Ойн нуур https://t.co/MFdCnUbzQq",23
boldbaatar,boldbaa34595470,6018,21.294330083062476,"RT @boldbaa34595470: 1988 он.Мандухай цэцэн киноны зураг авалт.Булган аймаг Элсэн тасархайд.
23-н настай байжээ. https://t.co/8DJEEvbBO1",21
Ariuka,Ariuka35140734,2468,7.368421052631579,"RT @Ariuka35140734: Бүгдээрээ сайхан амраарай 😉😍
Эргэж дагаж байгаа шүү! Уул нь
Миний төрсөн өдөр болж байгаа юмаа. Та хэдийг төрсөн өдрөөр…",16
Жавхлан,javhaad,2104,1.434039295738709,RT @javhaad: Тесла хятадын CATL-тай хамтран NMC төрлийн шинэ батерей бүхий машина үйлдвэрлэж эхлэх гэж байна. Машиныг олон дахин цэнэглээд…,29
Billy Gal💕🌎☄️®️,igoristhepurest,1362,17.80373831775701,"RT @igoristhepurest: Охидын профайл бүсэлхийнээс дээш бол намхан, хүзүүнээс дээш байвал тарган, зөвхөн нүдний зураг байвал зугт хха",12
Leaf,Navchaa12,856,0.6683657215673782,"RT @Navchaa12: С.Жавхлан ""Байгаа амьдралаас доогуур оруулахыг ардчилал гэдэг. Ардыг чилээж ал гэсэн үг."" 
Одоо намд нь орчихсон чилээж ална…",75
Batbileg1981,batbileg1981,473,8.267034990791897,"RT @batbileg1981: Эндээс ирсэн манай иргэд л өвчтэй бгаад бн. Эд нар явуулаад бдаг бх гэж хааяа боддог байлаа, одоо бараг итгэх гээд ч бх ш…",26
Dorjsuren Bat-Undral,BatuushBatU,422,0.027920646583394562,"RT @BatuushBatU: Энэ долоо хоногт ажил ихтэй, мэс засал ихтэй сайхан долоо хоног боллоо... 4 өвчтөнд аорт-митрал хавхлага солих мэс засал,…",18
