Expression Label,tweets
negative,"Хэзээ ч эрх мэдэл, албан тушаалд очихгүй Л.Оюун-Эрдэнэ 2018.12.28 https://t.co/QBSNC4TdLl"
negative,"У.Хүрэлсүх, Оюун-Эрдэнэ хоёр байгаа тулдаа л Оюу толгойн асуудал нааштай явж байгаа ... via 
@bbat_erdene"
positive,"Ерөнхийлөгчид нэр дэвшихээр Сонгуулийн ерөнхий хороонд бүртгүүлээд буй УИХ-ын гишүүн, МАН-ын дарга У.Хүрэлсүх, УИХ-ын гишүүн асан С.Эрдэнэ, “Датаком” компанийг үүсгэн байгуулагч Д.Энхбатнарын гэргийг уншигч та бүхэнд танилцуулж байна. 
https://t.co/AxdDOPjgfU"
neutral,"Б.Бат-Эрдэнэ: Б.Ундармаагийн Капитал банкнаас мөнгөө ав‼️

ХНХЯ: 2007 оноос байршуулсан... Найдвартай банк байв‼️

УИХ-ын гишүүн асан Б.Ундармаагийн хамаарал бүхий Капитал банкинд НДС-ийг 100 гаруй тэрбум төгрөг хадгалагдаж байв. Харамсалтай нь дампуурч иргэд нийтээрээ хохирсон. https://t.co/Exd1gaTeMC"
positive,@Kheneejingoo @DNN_MN Эрдэнэ эхнэртэйгээ ямар адилхан юм.
negative,"Л.Оюун-Эрдэнэ: Ц.Анандбазар түдгэлзээд шалгуул!!!

У.Хүрэлсүх: Ц.Анандбазар түдгэлзээд шалгуул!!!

УИХ-ын гишүүн Ц.Анандбазарын ёс зүйн асуудлаарх дуулианд Монгол Улсын Ерөнхий сайд Л.Оюун-Эрдэнэ, МАН-ын дарга У.Хүрэлсүх нар ижил байр суурь илэрхийлж байна.

МАН 🆚 Ц.Анандбазар https://t.co/kBLe36ab6W"
positive,"твиттерт Энхбат гуайг дэмжсэн нь мундаг, Эрдэнэ ба Хүрэлсүхийг дэмжсэн нь мулгуу болж дуусах шинжтэй шүү😂😂😂"
positive,"Сонгууль болж бгаа, гэхдээ 2020 онд Эрдэнэ АН 2-г газар доогуур хийгээд, МАН-ыг дэмжээд Хүрэлсүхдээ итгэж бнаа гээд жиргэж бснаа 10 сарын дараа Хүүк баба, Эрдэнэ даргаа та шүү гээ чаах гэхдээ ямар уу?! Гаагүү бгаа 😜😂"
negative,"@Enerell Эрүүл мэндийн даатгалын тогтолцоог (ядахдаа гэнэтийн ослын даатгалыг) олон улсын жишигт хүргэх ажлыг эхлүүлмээр байна. 
Төрөөс Даатгалын хөрөнгө мөнгийг нь салгахгүй бол С.Эрдэнэ мэтийн төрийн нэр барьсан хулгайчдад цаашид алдах нь тодорхой"
positive,Шинээр зам эхлүүлээс илүү Улаанбаатар-Дарханы замыг яаралтай дуусгах нь чухал гэж Ерөнхий сайд Л.Оюун-Эрдэнэ хэллээ. https://t.co/tGZ7UBjg6k
positive,"Монгол Улсын Ерөнхий сайд Л.Оюун-Эрдэнэ Улаанбаатар-Дархан чиглэлийн автозамын барилгын ажлын явцтай танилцсан. Энэ үеэр Дархан-Улаанбаатар чиглэлийн авто замыг 2022 оны аравдугаар сар гэхэд ашиглалтад оруулж, хүлээлгэн өгнө гэдгийг Зам, тээврийн хөгжлийн сайд Л.Халтар хэллээ. https://t.co/KXQ7Z2XdNF"
neutral,"Ж.Бат-Эрдэнэ: НДС бол буяны сан биш‼️

ХНХЯ: НДС-гийн цэвэр алдагдал ₮72.6 тэрбум‼️

""НДС улсын төсвөөс жилд ₮499 тэрбумын татаас авч байна. Тэтгэвэрт гарч буй хүмүүсийн 54% нь л ердийн горимоор гардаг. Бусад нь онцгой нөхцөлд хамрагддаг"" гэж ХНХ-ын сайд А.Ариунзаяа хэлж байна. https://t.co/Bgz07BtV8J"
negative,@amaraaliberty Эхний шатанд хэн хасагдах бол? Миний бодлоор С.Эрдэнэ мултрах байх.
positive,"Дархан-Сэлэнгийн авто замаас Шаамар-Зүүнбүрэн-Цагааннуур-Түшиг-Зэлтэрийн боомт чиглэлийн 120.85 км хатуу хучилттай авто зам төслийн явцтай Монгол улсын Ерөнхий сайд Л.Оюун-Эрдэнэ танилцлаа
https://t.co/xrsoyThHpq https://t.co/ggRNI3eLr3"
negative,"@margadism Хүрэлсүхийн попролтыг дахин6 жил харж бүтэхгүй ээ, Эрдэнэ угаасаа биш.
Энхбатыг л сонгож таарлаа"
negative,"МоАХ-с намуудыг тараах тэмцэл эхлүүллээ гнэ.1989 онд болсн Залуу у/бүтээлчдийн зөвлөгөөн дээр МоАХ бгуулагдсаныг зарлаж,анхны даргаар Зоригийг сонгож бж.Дара нь Элбэгдорж,Эрдэнэ г.м хүмүүс  даргаар  ажиллаж бгаад 2007 онд Баттулга болж,өнөө хүртэл  у/төрийн  тэмцэлдээ ашиглаж бна"
positive,"1.Энхбат, 2.Хүрэлсүх, 3.Цагаан хуудас, 4.Эрдэнэ. Эхний санал хураалтын дараалал. https://t.co/TTJjdoYXTE"
negative,"@HuygaaHuyagaa Хүүк огцор
Бат үүл зайл
Эрдэнэ нофш......"
negative,"Саяхын хүртэл бүгд л хаа сайгүй л ийм байсан, ийм байж болдог байсан. Харин хүмүүсийн хандлага өөрчлөгдаж байгаа нь сайшаалтай. Миний багад 20 гаруй жилийн өмнө байсан, дээгүүр гүйж явсан, юун Эрдэнэ огт хамаагүй https://t.co/89zBRBae0P"
positive,Л.ОЮУН-ЭРДЭНЭ: МОНГОЛ УЛС МАЛ АЖ АХУЙН САЛБАРААС НЭМҮҮ ӨРТӨГ ШИНГЭСЭН БҮТЭЭГДЭХҮҮН ЭКСПОРТОД ГАРГАХ ЦАГ БОЛСОН https://t.co/osM0QQwjmT
negative,"Монгол улсын Ерөнхий сайд Л.Оюун-Эрдэнэ тариалангийн гол бүс нутаг болох Дархан, Сэлэнгэд ажиллаж байгаа билээ. Түүнтэй хамт Сэлэнгэ аймгаас сонгогдсон УИХ-ын гишүүн Ж.Эрдэнэбат нар дагалдан явж байна
https://t.co/7QMogVYohq https://t.co/awLt0Sq5qp"
negative,@tod_medee Дарханы зам бол Ашиглалтанд орох хугацаа нь 2 удаа хоцрогдгоо хоцорсон. Харин хүмүүсийн мартамхайг далимдуулж Дарханы замыг МУ-ын ЕС Оюун-Эрдэнэ хугацаандаа ашиглалтанд өгнө гэж ярих нь зөв үү? Хүмүүсээ.
positive,"М.Оюунчимэг: Б.Бат-Эрдэнэ гишүүн зөрүүтэй юм хэлчихлээ‼️

Б.Бат-Эрдэнэ: М.Оюунчимэг барагтайхан байх хэрэгтэй‼️

""УИХ-ын гишүүн С.Ганбаатар өлсгөлөн зарлаж, эх оронч гишүүд дэмжсэний хүчинд Оюутолгой ордын үр өгөөжийг ард түмэн хүртсэн"" тухай УИХ-ын гишүүн Б.Бат-Эрдэнэ ярьсан юм. https://t.co/d5LgRMQAjL"
positive,"Өнөөдөр МУ-н ЕС Л.Оюун-Эрдэнэ УБ-Дарханы автозамын ажил, арьс ширний цогцолбор,Залуусын орон сууцны хороолол барих төслүүдтэй танилцаж,гүйцэтгэж байгаа компаниудын удирдлагад ажлаа хугацаанд нь чанартай гүйцэтгэхийг анхааруулж, ЗГ-н зүгээс бүх талаар дэмжиж ажиллахаа илэрхийллээ. https://t.co/h0QmkNejuf"
positive,LIVE: Ерөнхий сайд Л.Оюун-Эрдэнэ Алтанбулагийн чөлөөт бүсийн үйл ажиллагаатай танилцаж байна
negative,Ерөнхий сайд Л.Оюун-Эрдэнэ Сэлэнгэ аймагт ажиллах үеэрээ “Дархан-Сэлэнгийн бүс нутгийг илүү эрчимжүүлсэн бүс болгон хөгжүүлэх зайлшгүй шаардлага байгааг онцоллоо  #МОНЦАМЭ #МонголМэдээ #ОронНутаг https://t.co/4ReVMOygK7
negative,"@khulan9009 Хүүе нээрээ тэр Ерөнхийлөгчид дэвшээд байгаа Эрдэнэ гэж ахыг би танихгүй байгаамаа. Яг юу хийсэн, юу хийж бүтээх хүн юм бол?"
neutral,"АН-ын генсек Ч.Өнөрбаяр үг үйлдэлээ нэгтгэхийг МАН-д сануулав‼️

* У.Хүрэлсүх, Л.Оюун-Эрдэнэ... Хариуцлагаас зугтлаа
* Сүржин мэдэгдэл, шударга дүртэй харагддагаа боль
* Ц.Нямдорж тэргүүтэй сайд нар хэрэг ярих эрхгүй
* Бүх зүйл хуулийн дагуу явагддаг байх ёстой

Ч.Өнөрбаяр 🆚 МАН https://t.co/mdpBKGU9BZ"
negative,"Хүрэлсүх, Эрдэнэ нарыг сайн муугаар нь ядаж гадарладаг. Хэн дэвшиж байгааг мэдэх л гэсэн үүднээс Энхбат гэж хүнийг таних гээд асуусан хөдөөнийх эсвэл хотын захынх болчлоо доо хөөрхийс. Элит хүн л Энхбатыг дэмжих юм байх. 

За уучлаарай. Ингэж хүн доромжлохгүй ээ. 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️"
negative,"Хүрэлсүх ярилцлагадаа ЕС бхдаа 900 уул уурхайн лицензийг хурааж,төрийн өмчийг хууль бусаар хувьдаа авсан олигарх нартай тэмцэж,улс орон,ард түмэндээ буцаан авч чадсан гэнээ.Харин түүний оронд С.Эрдэнэ Д.Энхбат хоёр бсан бол ийм зоригтой шийдэж чадах бсан болов уу?Би нам бус иргэн"
neutral,Тм ангалзуур бж этр. Эрдэнэ тэгсэн надархуу даруухан бэ этр 😂 https://t.co/N9H5FFZ94N
negative,"Л.Оюун-Эрдэнэ: Бид өндгөө ч импортоор, махаа ч импортоор авч бна. Тиймээс Дархан,Сэлэнгийн нутгийг эрчимжүүлсэн ХАА-н бүс болгож хөгжүүлэх зайлшгүй шаардлагатай байна https://t.co/jKfkcXvD3c"
negative,"Л.Оюун-Эрдэнэ: Долдугаар сарын 1 гэхэд халдвар буурахгүй  бол төрөөс олгож буй хөнгөлөлтүүдийг он дуустал үргэлжлүүлнэ..
- Халамжийн мөнгө нэмэгдсээр
Төгрөгийн худалдан авах чадвар унасаар..тэгээд дүндээ дүн, үр дагавар нь муу боло вий дээ...
https://t.co/vRDIN7QI0a"
negative,Л.Оюун-Эрдэнэ: 6 сарын 1-н гэхэд замын ажлаа эхлүүлэхгүй бол тус компанийн концессийн гэрээг цуцал. Бүх шатанд хариуцлагын асуудал яригдана шүү https://t.co/kIdrCTAY9N
positive,"Хүрэлсүх Оюун-Эрдэнэ хоёр хэрэгт холбогдсон гишүүнээ, намын гишүүнчлэлээс татгалзуулж шалгуулна гэж шийдсэн нь үнэхээр зөв хөөрхөн үйлдэл боллоо шүү.
Одоо Амарсайханыгаа л даа"
