name,screen_name,followers_count,average_tweets_per_day,account_age_year
Asashoryu第68代横綱朝青龍🇯🇵🇲🇳,Asashoryu,345471,14.8,11.5
Battulga Khaltmaa,BattulgaKh,304112,3.3,12.1
Oyungerel Цэдэвдамба,oyunlt,299634,13.7,13.9
Jargal Dambadarjaa,jargal_defacto,279832,5.4,13.1
Mongol Tsakhia ELBEGDORJ,elbegdorj,265756,1.1,12.3
Baabar,Baabarniitlelch,264775,9.0,11.1
Enkhbat Dangaasuren,enkhbat,255389,6.8,14.3
Zandaakhuu Enkhbold,enkhboldz,238296,6.2,14.1
Temuujin Kh,Temuujin_Kh,237012,7.6,13.9
Ganhuyag Ch. Hutagt,ganhuyag,228843,21.6,13.6
Бундан Болдсайхан,Boldsaikhan_dr,222680,5.5,12.0
Норовын АЛТАНХУЯГ,altankhuyag_mn,214675,0.5,12.3
Amarjargal,AmarjargalR,194930,1.8,14.1
Ё. Отгонбаяр,OtgonbayarY,164070,18.1,12.9
Л.Энх-Амгалан,enkhamgalanmp,160460,5.2,10.6
Odontuya Saldan,OdontuyaS,155634,6.6,12.3
Luvsanvandan BOLD,boldlu,152552,3.2,13.5
𝓣𝓼.𝓑𝓪𝓽-𝓔𝓻𝓭𝓮𝓷𝓮 🕉,tsbat_IT,151171,148.5,11.5
Цагааны ОЮУНДАРЬ,tvdaria,132765,13.9,13.8
Т.Аюурсайхан,ayursaikhan,130998,1.0,12.1
