,tweets,retweets,maker
106,"RT @enkhbat: Сайн цаг, муу цагийг яаж ялгах вэ Багш аа? 
Проф. Чой.Лувсанжав: Сайн цагт сайн хүмүүс, харин муу цагт муу хүмүүс л  дээшээ их…",624,enkhbat
109,"RT @enkhbat: Чадалтай хүмүүс бүтээснээрээ гоёдог. Сул хүмүүс хэрэглээгээрээ гоёдог. Энэ бол хүнийг таних хамгийн энгийн, чухал шинж тэмдгий…",283,enkhbat
10,"RT @Ambaselmaa11: ""Өөртөө ойр хүнийг хөөр баяртай байлгавал хол байгаа хүн өөрөө таныг хайж ирдэг"" ... Күнз",253,Ambaselmaa11
40,"RT @Uyanga_ts: Ах дүү, худ ураг, амраг саднаараа МАН, АН дагнасан улс төр, албан тушаалын жихэнэ МАНАН. Одоо зүгээр #ЗАЙЛЦГАА! https://t.co…",187,Uyanga_ts
127,"RT @enkhbat: Зөвхөн үхсэн загас л урсгал дагаж хөвдөг 
  - Орос ардын үг

(Өөрийн толгойгүй хүн л олонхийг харанхуй дагадаг)",155,enkhbat
63,"RT @naranbayarp: Баянзүрх дүүргийн 22-р тойрогт орсон хороод: 4, 5, 6, 8, 13, 14, 15, 16, 18, 25, 26. Нийт 11 хороо байна. Олон мундаг хүнт…",144,naranbayarp
61,RT @enkhbat: Боловсролтой гэж зөвхөн мэргэжлийн мэдлэгтэй гэсэн үг биш. Боловсролтой гэж мөн нийгмийнхээ үнэт зүйлсийг шингээсэн хүнийг хэл…,141,enkhbat
26,RT @batengineer: Аргалийн сүрэгт хөгшин хуцнууд нь данхар эврээрээ дийлээд бхаар сүрэг өсөхөө байдаг. Иймээс нутгийн анчид аль удсаныг нь у…,127,batengineer
165,RT @batengineer: МИАТ компани 2 ш 767 онгоцоороо Хятад-Европын хооронд эмнэлэгийн хангалт зөөж бн. Дэлхийн бараг бүх авиакомпани нам зогсоо…,127,batengineer
412,"RT @narmandakh_e: Эрийн гурван наадам бөмбөрцөгийн хаана ч давтагдашгүй соёлоос гадна
Монгол улс оршин тогтнох дархлааны нэг хэсэг мөн http…",125,narmandakh_e
69,"RT @enkhbat: Олон хүн сайхан амьдралд хүргэх унаа хүлээсээр... Майдар бурхан заларч, эсвэл нэг сайн удирдагч төрж жаргаахыг харсаар. Харамс…",124,enkhbat
86,"RT @enkhbat: Бид амь амиа бодоод амиа л хагас дутуу шийднэ. Хүн бол нийгмийн амьтан. Амьдралын чанарын 90% өөрөөс нь бус орчин, нийгмээс нь…",113,enkhbat
49,RT @Ambaselmaa11: Үнэхээр муухай юм ярьжагад уучлаарай гхдээ эмчилгээний зардалгүй бна гээд хандив цуглуулаад явжийсан сэтгүүлч эгч сонгуул…,106,Ambaselmaa11
12,RT @batengineer: Саяхан л ард олноос эмчилгээний хандив гуйгаад явж бсан сэтгүүлч эмэгтэй сонгуульд нэр дэвшээд эрх баригчдад суудал нэмэхэ…,104,batengineer
2,RT @JavkhaaG: Хүнсний Захаас орос хар чавга аваад угаалаа. Тас хар ус гарлаа. Бас дээр нь хар хар хорхойнууд хөвсөн. Эхлээд хорхой биш байх…,104,JavkhaaG
364,RT @E_BatUul: М.Энхсайханыг хийгээгүй хэргийнх нь төлөө ялласан нь Ардчилал де юре байхгүй болсныг нотолсон юм! АН ба МАН-ын хооронд хүчний…,93,E_BatUul
88,RT @enkhbat: Хүн өөрийгөө олдоггүй. Харин өөрийгөө бүтээдэг.,88,enkhbat
