id,user,tweets,date,location,favorites,retweets
1263495122542460928,Magsarjav3,@batzayased Ер нь хамгийн зөв загвар л даа. Тэнд туршигдчихсан зүйлийг энд шууд хуулбарлах. Ард түмэн нь бараг адилхан юм чинь. Хуулаад байгааг хүн амын 10% хүрэхгүй хувь нь харж байгаа. Пр баг нь сурна. Яг л франчейз гэсэн үг.,2020-05-21 15:41:26,Ulaanbaatar,0,0
1263466240686747648,davaamongolian,RT @sudlaachganaa: Нэр дэвшигчдийн жагсаалтаас хүмүүс олон янзын  дүгнэлт хийх нь жам ёс. Гэвч энэ нь ердөө л ерөнхий дүгнэлт. Та бидний бо…,2020-05-21 13:46:40,Mongolia,0,29
1263457339689984001,urnukhbayar311,"RT @A_Munkherdene: Та бүхэн ""Зөв хүн-Электорат"" эвслийг дэмжинэ гэдэгт итгэж байна. УИХ-ын 2020 оны сонгуульд нэр дэвшиж байгаа бүх нэр дэв…",2020-05-21 13:11:18,,0,2
1263457239093800963,urnukhbayar311,"RT @A_Munkherdene: Монгол улсын иргэн бүр сонгох, сонгогдох эрхтэйг үндсэн хуулиндаа зааж өгсөн. Иргэн Алтангэрэлийн Мөнх-Эрдэнэ миний бие…",2020-05-21 13:10:54,,0,2
1263429199743692802,b_nar0207,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-21 11:19:29,Монгол улсын  ......аймаг.....,0,109
1263422744105910272,odontuya_mb,"RT @Zaya8: Зөв хүн-Электорат эвсэл чинь ихэнх нь гадаадад төгссөн, цол зэрэгтэй мундаг хүмүүс байна даа. 15-20 орчим суудал авчихаасай даа.…",2020-05-21 10:53:50,"Ulaanbaatar, Mongolia",0,112
1263414669579968512,Tsevege,"RT @A_Munkherdene: Та бүхэн ""Зөв хүн-Электорат"" эвслийг дэмжинэ гэдэгт итгэж байна. УИХ-ын 2020 оны сонгуульд нэр дэвшиж байгаа бүх нэр дэв…",2020-05-21 10:21:44,,0,2
1263414642258227205,Tsevege,"RT @A_Munkherdene: Монгол улсын иргэн бүр сонгох, сонгогдох эрхтэйг үндсэн хуулиндаа зааж өгсөн. Иргэн Алтангэрэлийн Мөнх-Эрдэнэ миний бие…",2020-05-21 10:21:38,,0,2
1263409382450028545,A_Munkherdene,"Та бүхэн ""Зөв хүн-Электорат"" эвслийг дэмжинэ гэдэгт итгэж байна. УИХ-ын 2020 оны сонгуульд нэр дэвшиж байгаа бүх нэр дэвшигч нартаа баяр хүргэе. Миний бие шударга, хүнлэг, ёс зүйтэй өрсөлдөөнийг эрхэмлэх болно.
#Зөвхүн",2020-05-21 10:00:44,Улаанбаатар,0,2
1263409378410946560,A_Munkherdene,"Монгол улсын иргэн бүр сонгох, сонгогдох эрхтэйг үндсэн хуулиндаа зааж өгсөн. Иргэн Алтангэрэлийн Мөнх-Эрдэнэ миний бие ""Зөв хүн-Электорат"" эвслээс УИХ-ын сонгуулийн 13-р тойрог буюу Сэлэнгэ аймагт нэр дэвшиж байна.  #Зөвхүн",2020-05-21 10:00:43,Улаанбаатар,0,2
1263408635721297920,Uchralaa,"RT @Ainotus: Нам үл харгалзан ""Зөв"" гэж үзсэн сэдэв бүхнийг дэмжинэ. 

Нам үл харгалзан итгэл даах ""Зөв""гэж үзсэн хүн бүрийг дэмжинэ.

Бара…",2020-05-21 09:57:46,,0,2
1263392420021940224,Burmaa1919,"RT @Ainotus: Нам үл харгалзан ""Зөв"" гэж үзсэн сэдэв бүхнийг дэмжинэ. 

Нам үл харгалзан итгэл даах ""Зөв""гэж үзсэн хүн бүрийг дэмжинэ.

Бара…",2020-05-21 08:53:20,Mongoli,0,2
1263391394246332419,shine_bil,"Миний ойлгож байгаагаар энэ Зөв хүн эвсэл нь голдуу залуу, улс төрд кареер нь эхэлж байгаа хүмүүс гэсэн шалгуур тавьж хүмүүсээ сонгоод үзэл суртал, бодлогын шалгуураа хойш тавьсан байх. Гэхдээ твиттер ийм юм бичихэд нөлөөлсөн байх. ХҮН нэг хүнд дийлдчихгүй байлгүй дээ. https://t.co/3u5pXhZkKe",2020-05-21 08:49:15,"Ulaanbaatar, Mongolia",0,0
1263383964951015424,bseru47,"RT @VTVMongolia: МАН, АН, ЗӨВ ХҮН ЭЛЕКТОРАТ ЭВСЭЛ УИХ-ын ээлжит сонгуульд нэр дэвшигчдийнхээ баримт бичгийг СЕХ-нд хүргүүллээ. https://t.co…",2020-05-21 08:19:44,,0,2
1263373003653476352,chimegt_oyu,"RT @amarbayar_a: Маш сайхан тодорхойлжээ. УИХ-ын сонгуульд олон Зүй Ёстой ЗӨВ Хүн оролцож, сонголт сайтай байгаасай. Иргэн бүр сонгуульдаа…",2020-05-21 07:36:11,,0,8
1263370203628359681,boldbaatar2020,"RT @VTVMongolia: МАН, АН, ЗӨВ ХҮН ЭЛЕКТОРАТ ЭВСЭЛ УИХ-ын ээлжит сонгуульд нэр дэвшигчдийнхээ баримт бичгийг СЕХ-нд хүргүүллээ. https://t.co…",2020-05-21 07:25:03,Ulaanbaatar,0,2
1263368502540304385,VTVMongolia,"МАН, АН, ЗӨВ ХҮН ЭЛЕКТОРАТ ЭВСЭЛ УИХ-ын ээлжит сонгуульд нэр дэвшигчдийнхээ баримт бичгийг СЕХ-нд хүргүүллээ. https://t.co/GMAx112qq0",2020-05-21 07:18:17,Ulaanbaatar,1,2
1263357677817589760,Ainotus,"Нам үл харгалзан ""Зөв"" гэж үзсэн сэдэв бүхнийг дэмжинэ. 

Нам үл харгалзан итгэл даах ""Зөв""гэж үзсэн хүн бүрийг дэмжинэ.

Бараг шүлэг зохиочихлоо шүү!😁",2020-05-21 06:35:17,"Ulaanbaatar, Mongolia",6,2
1263345003889217538,tsentsee_b,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-21 05:44:55,,0,109
1263341009502531586,Aagii_sky,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-21 05:29:03,Mongolia,0,109
1263338920227430400,BatnaiG,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-21 05:20:44,,0,109
1263336728280121345,Gunnermon,@Oyunaa4488 Намын дарга хүн чинь тэгээд манай залуучууд зөв зүйтэй хүмүүс гээд л зогсож бна ш дээ. Тогтолцоогоо л сайжруулах ёстой.,2020-05-21 05:12:02,Ulaanbaatar,1,0
1263331282043326465,unurtsetseg0905,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-21 04:50:23,УБ,0,109
1263325979428052994,jaagii_jtrex,@turbatn Зөв Хүн,2020-05-21 04:29:19,Ulaanbaatar Mongolia,1,0
1263325415772434437,SoniTheMongol,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-21 04:27:05,Ulaanbaatar city,0,109
1263323859165622272,Shuudmn,"ШУУД: ""Зөв Хүн Электорат""-ын ард 3.3 сая монголчууд байгаа https://t.co/u94XreREic",2020-05-21 04:20:54,"Улаанбаатар, Монгол улс",2,0
1263309341949493248,Munkh_Erdene_N,RT @Gereltuguldur_D: @Munkh_Erdene_N хотын зах хотын төв 2 яг ижил хугацаанд зорчиж бна гсн шүү. хотын төвд уулзаад салахад Сэлбийн аманд а…,2020-05-21 03:23:12,Mongolia,0,1
1263307902393085953,ulziisaikhan_ts,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-21 03:17:29,Монгол улс Дорнод аймаг,0,109
1263307769068711936,Gereltuguldur_D,@Munkh_Erdene_N хотын зах хотын төв 2 яг ижил хугацаанд зорчиж бна гсн шүү. хотын төвд уулзаад салахад Сэлбийн аманд амьдарч бгаа хүн түрүүлээд гэртээ харьж бна. Сургуулийн хүүхэд зөөхгүй л бол хотоос гарч амьдрах нь хамаагүй зөв болоод бна,2020-05-21 03:16:57,Ulaanbaatar,1,1
1263303462474911745,NenSoniuch,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-21 02:59:51,Papua New Guinea,0,109
1263287277871980544,mogoidarhan,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-21 01:55:32,,0,109
