Expression Label,tweets
positive,@Eegiid @Uyanga_ts Энхбат юу нь арай биш байна гэж? Яачиж бодсон Хүүкээс хамаагүй дээр санагдана.
neutral,@O_Enkhtaivan Ерөнхийлөгч гээд шууд жишвэл. Ерөнхийлөгч намаас дэвших хуультай. Аль ч намаас нэр дэвшсэн намын хандлагатай л хүн гарна.Заавал Хүүкийг онцлох юун.Энхбат гуай гарсан ч ХҮНийн ирэх сонгуульд олон суудалтай болгохын төлөө ажиллана
positive,@sogoomn Одоо Энхбат Хар Доржхандад итгээд үз
neutral,@z_erdenesaikhan Энхбат гуайн твит доор наад чинь троллдож бн лээ. Блок шаа
negative,"Энхбат ялбал ХҮН 24 онд илүү олон муудал авна, эрх баригч МАН луйвраараа бас л олон муудалтайгаа байхыг хичээнэ. АН л суудалгүй болтлоо доройтно.МАН, ХҮН хоёр зүүний нам, өвөр түрийний хоёр, ХҮН бол бүр увс нам. хөгжие гэвэл барууны намд эрх мэдэл өгөх хэрэгтэй."
negative,Нэг л юм хэлье Энхбат гуай орон нутагт ямар ч санал авч чадахгүй юу үнэн тэр үнэн
positive,@Eegiid @Uyanga_ts Энхбат биш л дээ. Гэхдээ 2-оос 1000% илүү.
positive,"твиттерт Энхбат гуайг дэмжсэн нь мундаг, Эрдэнэ ба Хүрэлсүхийг дэмжсэн нь мулгуу болж дуусах шинжтэй шүү😂😂😂"
neutral,@b_dorj @Bolorhoonnn Жагаа Ах голтой ярих нь ярьдаг. Энхбат гуайн хувьд ч тэр өөр хэн ч байсан 7-р сарын 1нд эсэргүүцлээ илэрхийлж байсан иргэд хяналтаас гарч архидалт үймээн тонон дээрэмдэлт болох уур амьсгал ороод ирхээр нь зогсоох гэж үзээд дийлдэхгүй болохоор орхиж явахаас өөр яах байсан гэж.
negative,Цагдаагийн хүү Буян Жагаа муулж суугаа бол Форумын Энхбат ярих юмгүй сайн хүн гэсэн үг л дээ. 7/1 бол яг үнэндээ МАН архиваа шатаах гэж сэдсэн үймээн шүү дээ. МАН архив тэгэхэд шатаагүй бсан бол монголчуудын матаасны үй олон гутамшигт түүх ил болох блаа.   https://t.co/u5ZIakO5CU
neutral,"@enkhbat Энхбат гуай, хүн ямар хэмжээний орлоготой болохоороо шинжлэх ухаан, соёл урлагийг сонирхох вэ? Улс хэдий хэмжээний мөнгөтэй болохоороо бас ийм чухал зүйлийг дэмжиж эхлэх вэ?"
positive,"Хүрэлсүх тулдаа л шүүдэй, өөр хэн Жэнког ялах бсы? Хийсэн ажлынхаа үр дүнг хүртэх эрхтэй гэж үзэж байна. Энхбат гуай хэдий оюунлаг хүн ч хүний барьсан суурь дээр гарч ирэх нь. 
МАН-д дотроосоо орчин үетэйгээ зохицоод, цэвэршээд явах төрт ёсны уламжлал байна гэж харлаа. https://t.co/3cHroJOVZ1"
negative,"@BatsaikhanBSU Энэ хугацаанд засгаас за засгаас гэждээ татвар төлөгчид 16 сая төгрөг түүнд өгсөн хэвээрээ, ерөнхий сайдтайгаа олимпоо үз яргачин минь !  Энхбат начин эргэж энгийн амьдралаа олох ч хэцүү боллоо."
positive,"С.Зориг агсны амь насыг хөнөөсөн хэргийн материалыг бүгдийг нь болон Д.Энхбат агсныг баривчилж ирсэн асуудлыг улсын нууцаас гаргахыг дэмжиж 6000 хүн гарын үсэг зуржээ. бүгд үнэнийг нь мэдмээр бгаа учраас бүгд л зурах байх оо, яваандаа https://t.co/tUYodlf64Z"
negative,"Хүүе нээрээ тэр Ерөнхийлөгчид дэвшээд байгаа Энхбат гэж ахыг би танихгүй байгаамаа. Яг юу хийсэн, юу хийж бүтээх хүн юм бол?"
positive,"1.Энхбат, 2.Хүрэлсүх, 3.Цагаан хуудас, 4.Эрдэнэ. Эхний санал хураалтын дараалал. https://t.co/TTJjdoYXTE"
neutral,"Нямдоржийн өөрийнх нь гардан удирдаж байсан цагдаагийн мөрдөгчид хэрэгтнийг олов. Тэр нь Дамирангийн Энхбат байв. Түүнийг эрүүдэн шүүсэн, тамласан, нас барсан.... https://t.co/3h2ohijyZq"
neutral,"Би 57К дагагчтай. Жиргэдэг, хариу бичдэг, РТ хийдэг, идэвхтэй уншигч гэж болох 11К гаран жиргээчийг эргэж дагажээ. Жиргээнд ер нь байнгын идэвхтэй 10К гаран хүн байгаа, би бараг бүгдийг нь эргэж дагадаг. Харин Д.Энхбат 212К дагагчтай, мянга ч хүрэхгүй жиргээчийг эргэж дагажээ."
neutral,"Энхбат гуай л тэгсэн. Номлол нь өөрөө шашин буюу сургааль юм. Сүм хийд нь тэр сургаалийг судалдаг газар. Байгуллага, б-н оффис, б-н үзэл санаа гэдэг шиг л юм шд https://t.co/4FP2fwoGpn"
negative,Би уг нь Энхбатад дургүй байсын Оюунгэрэл эгчийг хүн намаас гаргачихаасай гэж бодож байсан ч хүслээр болсонгүй гэхдээ одоогийн нэр дэвшигч нар дундаа оюунлаг хулгайч зэлгийч биш нь Энхбат гухй л бнаөөр сонголт алга тиймээс дэмжиж байгаа
negative,"Эргэж дагаагүй жиргээчийн жиргээ харагдахгүй, дагасан цөөн хэдэн томчууд нь бараг жиргэдэггүй. Ингээд л олон түмнээсээ тасарч байгаа нь тэр. Д.Энхбат МНН-ын дарга байхдаа ч жирийн гишүүдээсээ хэт тасарсан хүн байсан, тэгээд л намын гишүүд нь түүнийг намаасаа хөөж туухдаа тулсан."
negative,"ХҮН нам хүний нөөц муутай юм. Д.Энхбат шалихгүй мөртлөө маш их зантай, эгэл монголчуудын амьдралыг бүр ч мэдэхгүй нөхөр. Жиргээг нь ажиглаад байхад гадаад ном, зохиолоос их ишилсэн байдаг. Монголын амьдралд тэр бүхэн ердөө ч тохирохгүй. Ийм л нэг гадаад сэтгэхүйтэй нөхөр байгаа."
neutral,"Энхбат гэж хүнийг танихгүй бол та хөдөөнийх шүү 😅😅😜 хотынх байгаад ч танихгүй бол хотын захынх гэнэ. 😅😅😅

Хотын төвийн Элитүүд нь дэмжих бололтой. 🙏🏻"
negative,"Энхбат гуай ганцхан тохиолдолд л ялна. 

МАН хүсвэл."
negative,"Хүрэлсүх, Эрдэнэ нарыг сайн муугаар нь ядаж гадарладаг. Хэн дэвшиж байгааг мэдэх л гэсэн үүднээс Энхбат гэж хүнийг таних гээд асуусан хөдөөнийх эсвэл хотын захынх болчлоо доо хөөрхийс. Элит хүн л Энхбатыг дэмжих юм байх. 

За уучлаарай. Ингэж хүн доромжлохгүй ээ. 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️"
negative,"Хүрэлсүх ярилцлагадаа ЕС бхдаа 900 уул уурхайн лицензийг хурааж,төрийн өмчийг хууль бусаар хувьдаа авсан олигарх нартай тэмцэж,улс орон,ард түмэндээ буцаан авч чадсан гэнээ.Харин түүний оронд С.Эрдэнэ Д.Энхбат хоёр бсан бол ийм зоригтой шийдэж чадах бсан болов уу?Би нам бус иргэн"
negative,Ерөнхийлөгчид нэр дэвшигч Н.Дангаасүрэнгийн ЭНХБАТ гэж хэн бэ https://t.co/hDWi6gGFMV
negative,@TuulZav @Ganchuluun_T Өө хардаг өнцгөөсөө сонговол энхбат гэдэг хүнийг хэзээ ч сонгохгүй. Тэнцвэртэй байлгахыг хүслээ. Тэгээд асуусан дэмжигчид нь доромжууллаа даа🤦🏻‍♀️
negative,"Энхбат гуайн хамгийн том өрсөлдөгч нь хэн бэ?

Бусдыг доромжлох өөрийнх нь дэмжигч нар."
negative,@TuulZav @khulan9009 Гэхдээ ажаад байхнээ боловсролтой мундаг хүмүүс маань Энхбат гуайг дэмжихгүй гэж хэлсэн бичсэн хүмүүсийг тэнэг мангар боловсролгүй оркоор нь дуудаад байхийн🤷🏿‍♂️🤷‍♂️уг нь хүн хүний сонголт итгэл үнэмшил гээд өөр өөр байж болох байх тээ🙄🙄🙏🙏
