user,tweets,favorites
mk_jsq,"Хүүк эхлээд тэрбумын хадгаламжныхаа эх үүсвэрийг тайлбарлах хэрэгтэй гэж боддог хүмүүс лайк дардаг жиргээ 🎈

₮өрөөс ₮өрсөн ₮эрбумтан https://t.co/RnhLPqHTqy",429
TovuuBold,"хүүк: Эгч маань маань надад Со-с байнга мөнгө явуулдаг байсан, би хадгалаад 1.7тэрбум төг хадгаламжтай болсон
#NoHook",292
ariunq,"Иргэн Мөнхбатад хууль үйлчилдэг
Ичдэггүй Ичинхорлоод хууль үйлчилдэггүй
Боовчимэгийн хүү бол ажилласан жил хамаагүй
САмарсайханы хүү бол тэтгэлэг зогссон ч тэтгэлэг авчихдаг
Шүгэл үлээгч иргэнээ хамгаалж чадку бж
Хүүк даргынхаа төлөө үхсэн ч яхв гд сууж бга бид л арчаагүймдоо🥵❌ https://t.co/ZSgiEu1a9n",267
mk_jsq,Хүүк хэрэв ялбал Монголоос бүр мөсөн зайлах хүмүүс энд бөөгнөрье!,253
Aldar51,"Хүүк гуай хадгаламжиндаа 1,7 тэрбум төгрөгтэй энэ мөнгийг ямар ажил хийж олсон гэж бодож бна, би бол хулгай хийж олсон байх л гэж боддог",236
Uyanga_ts,Би хэн нэгний 6 хүүхдийг тэжээх үүрэг хүлээгээгүй шүү! Би өөрийнхөө 2 хүүхдийг тэжээх гэж шударгаар хөдөлмөрлөж олсон мөнгөө дээрэмдүүлэхгүй! Туй май Хүүк ээ! Эгчийнхээ явуулсан мөнгөнөөс өгөөрэй!,199
TovuuBold,"Салхитын мөнгөний орд, Тавантолгой, Эрдэнэтийн 49 хувь гээд хүний өмчийг дээрэмдсэн МАН-ын дарга нар тэрбум, тэрбумын хадгаламжтай. Насаараа бизнес хийгээгүй хүүк тэргүүтэй МАН-ын дарга нар Монголын хамгийн том баячууд болсон.",164
Ulziinaran8,Жэнко-н зангиаг засдаг дээлтэй өвөөг нь хүртэл Хүүк булаачихлаа гэнэ😂 https://t.co/8L9Nko4x2w,124
RT_chin,Хүүк ийг одоо үнээ саахыг хармаар байна.,114
artanyan,Хүүк :) https://t.co/keBUzniQmH,113
Aldar51,"Хүүк бол нам төр гэж явсаар 1.7 тэрбум хадгаламжтай болсон хулгайч, төрийн мөнгөөр казинодож явсан луйварчин
Ийм хүнийг дэмжинэ гэдэг хамсаатанаас өөрцгүй",107
Aldar51,"Хуультай газар бол Хүүк гуай өдийд 14 тэрбумаар казинодсон хэрэгтээ ял үүрээд ял нь ч дуусаагүй нааран дээр тэрийж байгаа, Хуульгүй монгол учраас дандаг хүртэл далдаганаж еөк болчих санаатай ай",106
Aldar51,"УИХ дарга Г. Занданшатар шатар сайн тоглодог. 1 р зэрэгтэй. Дотоод чансаа 1910
ийм хүнийг л Хүүк гуай бодолд ортол нүүсэн бна шт 
Зандка 6 хүү 1 тэрэгтэй, Хүүк нь бэрс 1 морь 5 хүү 1 тэрэгтэй бж бх шиг хахаха https://t.co/Z5cZkSgcUv",105
khurtsaa1,"- Уур биеийг зовооно
Хүүк морийг зовооно 🤣😅 https://t.co/PnFvhPL4v7",98
