username,following,followers,totaltweets
Uyanga_ts,1094,81982,397818
m_zorigt,7793,136340,274492
z_erdenesaikhan,4380,19403,204297
0Baagii,4685,18433,190606
oddiinohin,14437,35423,185922
alphasun89,9701,25599,184509
haliun_87,2941,25939,171630
baatar05,33,1908,165179
byruad,2850,18700,162924
namaskaramsaroo,1916,9192,158851
Batsugar1,7134,23234,157989
KhasbaatarS,10655,9747,156580
balgaa,5187,16318,154698
Jochen_Wotan,17804,16236,152164
Lkhagvaa_ub,8632,22686,151012
110Orgio,2707,23930,149463
GanzooCh,9993,25632,142727
tsende_mgl,5235,12559,137831
Ganzorig1,2948,32628,137702
GZulaaa,1683,22057,132602
Erhrights,5373,12641,129074
Davkasuren,1445,24548,123754
mooloo4,6139,5602,120374
Gumpaa,3592,61612,117160
Tsa_tsaa,1304,16706,115219
NinjbatL,1637,51014,113431
batengineer,2746,61517,110976
tsog215,2250,3339,108921
erdene457,5994,11972,103663
TegshbayarShara,4306,27574,103387
turoo4,4963,4785,102745
AmaraaSport,583,26364,102139
BMunkhbat,2620,13259,101845
art_radnaa,389,9948,99225
shinebaatar,9896,35380,98524
ShinegerelR,10766,35755,97959
drmlts,4031,8653,95393
Nomch_M,295,5983,93865
ElisaEkwnd,427,3726,92622
tsogt_tsogt,8889,18809,92247
Zulbayart,2634,5027,89652
idermn,52,671,88745
Bodonguud,1043,32223,87219
Batka_,1881,77821,86626
altankhuyagMGL,2061,16371,85746
bultreech,72,2,82620
zamtradeco,175,2028,82304
toigniihuuhed,1293,8087,81204
eegishka,1202,28202,80944
urnaa_urnaa11,4514,24732,80615
ganhuyag,178,184947,79284
G_Ganbaatar,9357,15751,78404
panduyaaaa,13337,14740,75628
BayarsaihanG,7773,53123,75595
enheene,302,14576,74865
mercury3_c,8257,9575,74657
sakuna_mn,958,11791,74581
d_bmb,14311,16840,74210
erdenebatavia,1350,5560,72094
buyanaa_ts,4992,14646,70042
dulmandakh,1450,24874,69787
odbayare,1359,53613,68789
Ichinkhorloo3,899,28400,68452
Zaya8,677,17396,68393
oyukhaaaa,19969,21526,68377
ulziibayar_b,2260,30047,67970
MNNtweet,18956,60577,66729
Bayarsa07020804,5359,7398,64914
ariunbileg,2907,31789,64606
bolodm,11182,26444,64525
OyunchimegAyur,1282,4041,64021
batubayr,5574,5259,61508
otgonbat_sh,500,3637,60061
OilooSM,1378,2789,59953
tulga2001us,9856,10349,59303
boldbaa34595470,3501,5999,58903
HeleMede,40,756,57478
OtgonbayarT,5213,29382,56984
Daagii01,1469,8598,55877
oyunlt,20665,206003,55747
tsagaan_gart,867,5410,53553
emmajamyan,1150,2416,53253
bayarkuu,3706,27055,52573
XY2DZ3D,5504,9574,52166
BiligB,579,17568,51670
jhneco,2833,4391,51499
RiseofMongolia,2300,1918,50823
shur0123,1990,8970,49170
AnkhjargalP,6670,17438,49097
Tugsuu_mongol,5796,12475,49071
amna1217,1313,2143,48758
ganga_bayar,5049,4944,48490
kherlenzaya,978,17733,48468
Ganchimeg_1,6411,6712,48173
Bishreltei,729,2665,47689
D_Gantulga,3112,2643,47331
goo_isa_,649,9402,46843
iTulga,625,15952,46129
tvdaria,12390,125000,45540
zayaevelyn,7871,13241,45425
KhishigbayarE,9750,9934,45101
Orgil31,3999,41124,45076
CFCMongolia,5670,8623,44127
BatnaiG,5674,5572,42383
temuulent,1473,16596,41659
bbat_ochir,4503,17261,41452
m_narantuya,688,29735,41181
hurganbantan,9815,21208,39705
BaagiMontgomery,1649,4622,38636
Oojoom,3863,3252,37767
erdenebulganO,3814,23676,37314
muujig77,2417,4653,37111
ganjii8811,4718,10133,37067
UvsUvsu,6068,9003,36702
zol_aid,4676,7447,36691
Ainotus,15419,16094,36641
Mpolo0420,4631,4973,36568
temuujin71,2069,3577,36465
Metamorphoser,924,14450,36395
juno_venus,1503,5786,35890
altancom7969,2543,4335,35807
bolushka,8996,33313,35624
ganzorigt,156,803,34898
baikap,746,8842,34543
Orshikh1,356,1912,34359
erdenechuluun_n,5556,8818,34003
Ghanafreestyle1,982,838,33879
buhahatig17,2052,2875,33730
AngaragDarigang,1508,18260,33532
battsetseganaa,3125,2520,32250
MTsendpurev,6208,7286,32126
Khangal99,3401,4965,31452
khuslen0803,614,11718,31123
SurakhbayarG,1333,2810,30952
TuvshinBJ,1317,938,30577
hiimori9,16975,18031,30200
gtga007,2620,3626,30110
GiimaaAj,2176,5147,29404
Shinebayar,1271,12891,29040
Lhamaas,11628,10728,29017
ganpurev,5169,6792,28856
TegshbayarN,7341,13704,28834
Zola_fem,1624,11990,28802
Orgil0723,5018,5825,28742
Munkh_jargal,2764,3578,28553
ganerdeneb,9651,13855,28238
bayarkhuu_te,998,1292,28232
Bayarbold_G,283,1459,28130
myagmardorj_,325,2291,27565
g_bazarvaani,6790,7860,27225
Borhuul,3161,2699,27118
Miyegombo,731,4256,27061
TemurMGL,2942,4838,26803
ulziitse,4008,9517,26659
Buratinohon,1416,6425,26488
b_uj,873,2329,26410
Mongolsonom1,6794,7689,26404
IG_3333,2846,2900,26339
batzorig08,3105,3192,26325
02012425_,2535,2943,26144
OdontuyaS,2261,138463,26132
ErdenebatAmar,2645,2218,25800
baterdene_geo,708,1531,25501
DemberelBatbay1,4393,2235,25174
byambajavm,59,383,25114
surlenhuu,6219,7782,25073
trendsmn,12633,23985,25072
OtgonbatY,3388,6621,24964
Bayaraa1,1179,3224,24869
enkhtemuulen,1059,2667,24513
batnyam2245,4282,2556,24182
DorjnamjimL,643,1264,23820
odgarig,1719,3211,23700
tulgabat_tv,7081,9594,23680
bantan_ch,385,988,23573
Ankhbayar_,1388,1308,23073
TsBatsukh,1101,549,22654
Ganbaatar_G,2363,4278,22543
nomin_gem,1536,4322,22488
hi_jo_black,2874,2318,21788
xopom,1258,7064,21754
TsogtNyamsuren,890,665,21747
Ahaitan1,3311,2872,21576
agantulga,1630,1599,21560
OyunchimegTs,2051,2365,21299
jagaasport,2441,2988,20979
Tuba_gt,2729,2996,20764
Ganaagg_,3034,3338,20668
rdavaadorj,2067,6074,20586
DolgoonBoss,5001,2138,20414
Igged,725,1159,20199
bdavaa,348,598,19971
kh_myagmar,838,878,19936
Boldmandal,7782,10263,19772
dlobnag,360,7022,19725
p_bblr,1320,1376,19465
baterdenerka,1577,836,19372
01mgl,2926,53920,18946
gerel0991,12111,15552,18645
enhbatad,1115,3427,18500
PurevsurenL,202,9603,18201
Mukhbaatar_ts,3641,1760,17911
e_gereltod,3623,3659,17910
S_Otgonbaatar,4989,5554,17753
SukhbaatarMyag1,285,325,17714
Altangunii,894,3558,17399
B_Munkhtselmeg,5597,15236,17234
Begz_Ankhbayar,4992,4292,17150
MunkhOdBaasando,976,1205,17128
MTsend,5000,2030,17083
amaraa12n,4949,6645,17069
narmandakh_e,3866,10986,16786
boloroo1991,2606,2430,16774
Nomingerel,1461,21934,16757
GanzorigBor,7805,13036,16490
nasaachan,344,3159,16415
suhbold,780,16086,16316
Gantulga_S,2179,6388,16069
AnxSolar,1246,2663,15933
tulgaa20,49,621,15904
itsaku,480,1309,15660
MBBontoi,2758,4395,15220
baatarjav_g,1500,1383,15211
hidden0_0,6572,9479,15156
altantulga_b,3548,3288,15053
Malenuushka21,2322,1722,14911
Bayarkhuuk,3064,3158,14853
GGanErdene,590,2348,14427
uundaa,727,10616,14356
b_nar0207,2611,8890,14214
Byambagerel1,3248,17908,14207
uUreE_aUr,404,2512,14193
gegee55,2855,4828,14132
ardiinkhu,7045,12998,14061
Naidalaa,6038,28540,13998
Bayarabb,1907,2879,13991
tserendavaa,455,2231,13834
EnkhjinEnh,4362,6570,13740
ADelgersaikhan,7115,12893,13702
ebomandakh,1023,860,13692
Ambaselmaa11,3420,11645,13575
erelhegHongldon,6410,5860,13558
superdoloogch,850,723,13512
Chuluunbat201,8514,8452,13438
Jambaa_M,1238,1017,13358
Anhbayar_Ts,545,888,13315
NMisheel,5333,10382,13271
Khaliun12244459,2306,2174,13109
Batzul83247956,589,870,13001
bdrchn,5599,10038,12912
batbold47,2491,2716,12888
Ok_Tuya,3662,2778,12874
gantugsshagdar,1479,967,12839
elkhaan,1167,593,12750
TuvshinD,1130,660,12652
Bayaraa_SY,1421,1856,12468
Ganbaa_L,4420,2790,12340
GTsolmonbaatar,596,2023,12214
1237goldenhorde,833,938,12212
Pagi_D,1458,1987,12196
BbDuuya,994,1037,12057
dropmires,1106,5500,11679
KhGankhuyagMN,1042,11548,11545
b_chimgee,4084,7286,11471
igoristhepurest,734,1358,11402
tserenpuntsagt,1170,1100,11393
n_ankh,1029,494,11372
KhulanJ,4935,9578,11184
erdenebold,1884,17686,11099
tulgagmg,1064,1051,10994
nomadic_o,765,949,10922
loggnom,3838,2490,10881
ochir_alimaa,5005,8498,10849
mongol_com,6821,14844,10640
onon92373646,881,839,10514
nganbaa,1610,3696,10441
enkhsanaab,2826,1359,10318
narankhuu_L,569,1042,10305
ganaachan,6484,7787,10204
tulga928,1051,1167,10068
Khulgun_N,5956,5820,9904
DTserendamba,930,1212,9864
poojyee,1719,1712,9825
Eskomaral,6113,6263,9640
tuvshinbayar_mn,2306,2178,9550
EnkhjinPurev,831,1698,9545
tsatsral,1029,642,9451
UNDPMongolia,215,10825,9316
RS52020,1359,1369,9165
TKhangerel,3072,2348,9135
lhagvs,2064,2750,8973
baigalimaa_jigj,1335,1031,8969
MongoljingooCc,1104,6232,8827
TuguldurBaatar,1268,6500,8824
Xa3aaap,4297,4597,8735
BiMongolErKhun,4991,1091,8646
commiealkie,2499,2779,8621
iganzo,799,7098,8559
KhulanTsog,4691,8724,8524
munkhnyam_ch,483,1312,8524
KatyaBlt,582,1472,8101
Bat_Tuvshuntur,724,573,8043
khb_03,1148,2026,7930
LindaLucky99,4274,2545,7741
enkhtaivan_9,395,1274,7700
dbsgln,582,1684,7656
EeMcaf,3695,2199,7490
chimeddorjm,333,12406,7417
UnurzayaB,1325,3970,7392
